Central line,,Upper curve,,Lower curve,
X,Y,X,Y,X,Y
2.6507999321612346,5.8654016891690635,53.105885013285096,1.6288434030501788,69.64158516592232,0.8234866704214343
10.282661541070723,4.161755911547415,62.85770818022501,1.3599868334221499,78.46062524732886,0.6861150891791425
26.01748732734091,2.51986567869161,72.6095313471649,1.1396268833899232,87.7884561026627,0.5764213743119523
34.87421561422354,2.0706331572228933,82.78534682571092,0.9676298413039979,96.09870541014192,0.4950971281578215
44.20204646955735,1.6804863207982215,92.9611623042569,0.8544145093963597,104.40895471762113,0.4347583806547168
53.52987732489118,1.3701505971133083,103.56097009440899,0.7534529153265304,113.73678557295497,0.3775738474973444
62.85770818022501,1.1106378049089252,114.16077788456104,0.6631103896972806,123.91260105150096,0.3216247982881811
72.18553903555883,0.9396635972297567,124.33659336310703,0.5895863926632525,133.66442421844087,0.2756126234062478
81.51336989089265,0.8183276933653134,134.9364011532591,0.5176979127907204,143.84023969698686,0.23672789458121077
90.84120074622649,0.714453264035095,145.53620894341117,0.45129461773651663,154.01605517553284,0.20099997499573907
100.1690316015603,0.6229806187745527,155.71202442195718,0.3921157145011507,162.91989371926059,0.16200393490392576
109.49686245689412,0.5432193691393934,165.88783990050317,0.3329360443542054,172.2477245745944,0.13275795120941414
118.82469331222796,0.48086851045967294,175.63966306744308,0.28624640428055054,181.99954774153431,0.1088919614792809
128.15252416756178,0.4316005060891056,186.23947085759514,0.25192412270335474,191.32737859686813,0.09245755162606692
137.4803550228956,0.3835046479993244,196.41528633614112,0.22142548834179168,201.50319407541411,0.07850348856387676
146.80818587822944,0.33230893438307674,207.0150941262932,0.1928334881347134,211.67900955396013,0.06742784613901479
156.13601673356325,0.2843509956857668,217.1909096048392,0.16727141371904866,221.85482503250608,0.057781507097456976
165.46384758889707,0.23876986469695155,227.79071739499125,0.14862689921635228,232.03064051105207,0.049060891207397185
174.7916784442309,0.20125277084027976,238.81451749674943,0.14030676232806527,242.2064559895981,0.04213914928231002
184.11950929956473,0.1722085079632077,249.83831759850756,0.13275795120941414,252.3822714681441,0.036110652983289485
193.44734015489854,0.1471707403000706,260.86211770026574,0.12561528266265024,262.5580869466901,0.030731422412395994
202.77517101023238,0.12656617932016492,271.88591780202387,0.11913110522764973,272.30991011363,0.02640785601029748
212.1030018655662,0.10830048604213816,282.90971790378205,0.1124621434961389,282.06173328056985,0.02256741515378268
221.4308327209,0.09744907984454056,293.9335180055402,0.1064114338570271,294.48979591836735,0.018943344066739087
230.75866357623386,0.09139840688360414,43.46938775510204,1.9454377598866073,56.32653061224489,1.0476861768421348
240.08649443156764,0.0857234239070023,34.285714285714285,2.328370150981525,46.53061224489796,1.3313046736909906
249.4143252869015,0.08070454386961128,25.10204081632653,2.8428714721624244,37.3469387755102,1.6582621162300395
258.74215614223533,0.07588406729857528,17.14285714285714,3.6853096845958104,28.775510204081634,2.1071692595925247
268.0699869975691,0.07099369061660302,9.183673469387749,4.777390608181431,20.204081632653057,2.677599786616458
277.39781785290296,0.06683719755581573,2.448979591836732,6.445380412393646,12.857142857142854,3.471062452775396
286.7256487082368,0.06276607625308282,,,5.510204081632651,4.590391333636515
295.6294872519645,0.059046741951052424,,,0.6122448979591795,6.193091755230146
300.00000000000006,0.057943640852374675,,,,
18.9795918367347,3.0792099848326,,,,
