arrival_share,pathogen,viral_family,has_prototype,airborne
0.238187078109933,coronavirus,Coronaviridae,1,Yes
0.551728888276622,flu,Orthomyxoviridae,1,Yes
0.210084033613445,unknown virus,Unknown,0,Unknown
0,other known virus,Unknown,0,Unknown
