"pathogen","estimate","se","viral_family","has_prototype","airborne","ci_lower","ci_upper"
"coronavirus",0.429532967032967,0.0655678241877351,"coronaviridae",TRUE,TRUE,0.301020031625006,0.558045902440928
"flu",0.570467032967033,0.0655678241877351,"orthomyxoviridae",TRUE,TRUE,0.441954097559072,0.698979968374994
