"crimean-congo_hemorrhagic_fever","lassa","nipah","rift_valley_fever","chikungunya","ebola","zika","flu","totally_unknown_virus","drug_resistant_bacterial_infection","other_known_virus","nonviral_nonbacterial","coronavirus"
0.00763358778625954,0.00763358778625954,0.00763358778625954,0.00763358778625954,0.0381679389312977,0.00763358778625954,0.0763358778625954,0.229007633587786,0.00763358778625954,0.305343511450382,0,0.152671755725191,0.152671755725191
0.0192307692307692,0.0192307692307692,0.0576923076923077,0.0384615384615385,0.0288461538461538,0.0576923076923077,0.0769230769230769,0.173076923076923,0.115384615384615,0.153846153846154,0,0.0288461538461538,0.230769230769231
0.0487804878048781,0.024390243902439,0.0487804878048781,0.024390243902439,0.0487804878048781,0.0487804878048781,0.0731707317073171,0.146341463414634,0.195121951219512,0,0,0.0487804878048781,0.292682926829268
0,0,0,0,0.0210526315789474,0.0315789473684211,0.0526315789473684,0.526315789473684,0.157894736842105,0.0526315789473684,0,0,0.157894736842105
0,0.05,0.2,0.1,0,0.05,0,0.25,0.19,0.01,0,0,0.15
0,0,0,0,0.2,0,0.1,0.4,0.1,0,0,0,0.2
