deaths_millions_central,exceedance_central,deaths_millions_upper,exceedance_upper,deaths_millions_lower,exceedance_lower,severity_central,severity_upper,severity_lower
2.6507999321612346,0.05865401689169064,53.105885013285096,0.01628843403050179,69.64158516592232,0.008234866704214343,3.398461451488762,68.08446796575012,89.28408354605426
10.282661541070723,0.04161755911547415,62.85770818022501,0.0135998683342215,78.46062524732886,0.006861150891791425,13.182899411629133,80.58680535926283,100.59054518888315
26.01748732734091,0.025198656786916098,72.6095313471649,0.011396268833899232,87.7884561026627,0.005764213743119523,33.355752983770394,93.08914275277552,112.54930269572142
34.87421561422354,0.020706331572228932,82.78534682571092,0.00967629841303998,96.09870541014192,0.004950971281578215,44.71053283874813,106.13506003296273,123.20346847454091
44.20204646955735,0.016804863207982218,92.9611623042569,0.008544145093963597,104.40895471762111,0.004347583806547168,56.66929034558635,119.18097731314987,133.8576342533604
53.52987732489118,0.013701505971133083,103.560970094409,0.007534529153265304,113.73678557295496,0.003775738474973444,68.62804785242459,132.77047448001153,145.81639176019866
62.85770818022501,0.011106378049089252,114.16077788456104,0.006631103896972806,123.91260105150096,0.003216247982881811,80.58680535926283,146.35997164687313,158.86230904038584
72.18553903555883,0.009396635972297568,124.33659336310704,0.005895863926632525,133.66442421844087,0.002756126234062478,92.54556286610106,159.40588892706032,171.36464643389857
81.51336989089265,0.008183276933653134,134.9364011532591,0.005176979127907204,143.84023969698686,0.002367278945812107,104.5043203729393,172.99538609392192,184.4105637140857
90.84120074622648,0.0071445326403509505,145.53620894341117,0.004512946177365165,154.01605517553284,0.0020099997499573898,116.46307787977753,186.58488326078356,197.45648099427288
100.1690316015603,0.006229806187745527,155.71202442195718,0.003921157145011507,162.9198937192606,0.001620039349039257,128.42183538661578,199.63080054097077,208.87165861443668
109.49686245689412,0.0054321936913939335,165.88783990050317,0.0033293604435420537,172.2477245745944,0.0013275795120941411,140.38059289345398,212.6767178211579,220.83041612127488
118.82469331222796,0.004808685104596729,175.63966306744308,0.0028624640428055047,181.99954774153431,0.001088919614792809,152.33935040029226,225.1790552146706,233.33275351478758
128.15252416756178,0.0043160050608910564,186.23947085759517,0.0025192412270335467,191.32737859686813,0.000924575516260669,164.2981079071305,238.7685523815323,245.2915110216258
137.4803550228956,0.003835046479993244,196.41528633614112,0.0022142548834179158,201.5031940754141,0.0007850348856387671,176.2568654139687,251.81446966171936,258.33742830181296
146.80818587822944,0.003323089343830767,207.0150941262932,0.001928334881347134,211.67900955396013,0.0006742784613901471,188.21562292080696,265.403966828581,271.3833455820002
156.13601673356325,0.0028435099568576683,217.1909096048392,0.001672714137190486,221.85482503250608,0.000577815070974569,200.1743804276452,278.44988410876823,284.4292628621873
165.46384758889707,0.002387698646969515,227.79071739499125,0.001486268992163522,232.03064051105207,0.000490608912073971,212.13313793448344,292.0393812756298,297.4751801423744
174.7916784442309,0.002012527708402797,238.81451749674943,0.001403067623280652,242.2064559895981,0.0004213914928231,224.0918954413217,306.1724583291659,310.5210974225617
184.11950929956475,0.001722085079632077,249.8383175985076,0.0013275795120941411,252.3822714681441,0.000361106529832894,236.05065294815992,320.30553538270203,323.56701470274885
193.4473401548985,0.001471707403000706,260.86211770026574,0.001256152826626502,262.5580869466901,0.000307314224123959,248.00941045499812,334.43861243623815,336.612931982936
202.7751710102324,0.0012656617932016489,271.88591780202387,0.001191311052276497,272.30991011363,0.000264078560102974,259.96816796183646,348.5716894897742,349.11526937644874
212.1030018655662,0.001083004860421381,282.90971790378205,0.0011246214349613889,282.06173328056985,0.00022567415153782602,271.9269254686746,362.70476654331037,361.61760676996136
221.4308327209,0.000974490798445405,293.9335180055402,0.0010641143385702711,294.4897959183673,0.00018943344066739,283.8856829755128,376.8378435968464,377.55102040816314
230.75866357623383,0.000913984068836041,43.46938775510204,0.019454377598866077,56.32653061224489,0.010476861768421348,295.84444048235105,55.72998430141287,72.21350078492935
240.08649443156764,0.000857234239070023,34.285714285714285,0.02328370150981525,46.53061224489796,0.013313046736909907,307.8031979891893,43.956043956043956,59.65463108320252
249.4143252869015,0.000807045438696112,25.10204081632653,0.028428714721624244,37.3469387755102,0.016582621162300394,319.76195549602755,32.182103610675036,47.880690737833596
258.74215614223533,0.0007588406729857521,17.14285714285714,0.0368530968459581,28.775510204081638,0.021071692595925246,331.7207130028658,21.97802197802197,36.89167974882261
268.0699869975691,0.00070993690616603,9.183673469387749,0.04777390608181431,20.204081632653057,0.02677599786616458,343.679470509704,11.77394034536891,25.90266875981161
277.39781785290296,0.000668371975558157,2.448979591836732,0.06445380412393646,12.857142857142854,0.03471062452775396,355.63822801654226,3.1397174254317077,16.483516483516482
286.7256487082368,0.0006276607625308279,,,5.510204081632651,0.04590391333636515,367.5969855233805,,7.064364207221347
295.6294872519645,0.000590467419510524,,,0.6122448979591795,0.06193091755230146,379.0121631435442,,0.7849293563579224
300.00000000000006,0.000579436408523746,,,,,384.6153846153847,,
18.9795918367347,0.030792099848326,,,,,24.332810047095766,,
,0.2,,,,,0.001,,
,0.1,,,,,0.002,,
